Time Period Start Date,Indicator,Group,Subgroup,State,Value,LowCI,HighCI
17-04-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,22.39,19.09,23.73
17-04-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,14.09,12.46,15.53
17-04-2022,Received Counseling or Therapy,By Age,65+,USA,13.75,11.11,17.34
24-04-2022,Took Prescription Medication for Mental Health,By State,All,California,11.65,8.07,16.31
24-04-2022,Received Counseling or Therapy,By State,All,California,39.2,36.64,42.16
24-04-2022,Took Prescription Medication for Mental Health,By State,All,Texas,22.76,20.3,27.62
24-04-2022,Received Counseling or Therapy,By State,All,Texas,11.88,9.89,15.7
24-04-2022,Took Prescription Medication for Mental Health,By State,All,Florida,11.89,10.22,16.29
24-04-2022,Received Counseling or Therapy,By State,All,Florida,34.09,32.78,36.43
24-04-2022,Took Prescription Medication for Mental Health,By State,All,New York,22.07,21.01,24.08
24-04-2022,Received Counseling or Therapy,By State,All,New York,12.08,10.94,14.67
24-04-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,12.03,9.3,15.22
24-04-2022,Received Counseling or Therapy,By State,All,Illinois,28.09,24.93,30.23
24-04-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,28.32,26.23,31.51
24-04-2022,Received Counseling or Therapy,National Estimate,All,USA,34.62,30.95,38.23
24-04-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,10.49,6.39,13.26
24-04-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,22.65,18.98,25.74
24-04-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,22.09,18.98,25.46
24-04-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,22.37,20.68,25.35
24-04-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,32.51,28.31,34.6
24-04-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,32.89,27.95,34.02
24-04-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,25.42,23.48,28.33
24-04-2022,Received Counseling or Therapy,By Age,65+,USA,16.55,12.24,20.65
01-05-2022,Took Prescription Medication for Mental Health,By State,All,California,27.43,24.81,29.71
01-05-2022,Received Counseling or Therapy,By State,All,California,12.48,9.87,13.9
01-05-2022,Took Prescription Medication for Mental Health,By State,All,Texas,34.12,31.44,36.95
01-05-2022,Received Counseling or Therapy,By State,All,Texas,20.67,17.16,23.24
01-05-2022,Took Prescription Medication for Mental Health,By State,All,Florida,30.5,29.1,34.95
01-05-2022,Received Counseling or Therapy,By State,All,Florida,31.5,29.42,34.84
01-05-2022,Took Prescription Medication for Mental Health,By State,All,New York,17.97,16.17,20.32
01-05-2022,Received Counseling or Therapy,By State,All,New York,28.31,24.29,29.44
01-05-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,35.96,33.32,38.72
01-05-2022,Received Counseling or Therapy,By State,All,Illinois,11.31,9.93,13.34
01-05-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,16.21,14.99,18.25
01-05-2022,Received Counseling or Therapy,National Estimate,All,USA,20.38,18.58,22.09
01-05-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,15.24,14.01,20.08
01-05-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,13.48,9.07,17.2
01-05-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,36.24,32.31,39.62
01-05-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,10.67,8.21,12.71
01-05-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,13.31,9.57,18.26
01-05-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,35.7,33.51,37.36
01-05-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,12.6,10.23,15.7
01-05-2022,Received Counseling or Therapy,By Age,65+,USA,16.87,11.98,20.05
08-05-2022,Took Prescription Medication for Mental Health,By State,All,California,24.95,20.16,26.42
08-05-2022,Received Counseling or Therapy,By State,All,California,35.34,33.94,36.74
08-05-2022,Took Prescription Medication for Mental Health,By State,All,Texas,38.43,33.45,41.97
08-05-2022,Received Counseling or Therapy,By State,All,Texas,18.41,13.66,20.1
08-05-2022,Took Prescription Medication for Mental Health,By State,All,Florida,16.91,12.55,21.59
08-05-2022,Received Counseling or Therapy,By State,All,Florida,36.12,31.22,40.25
08-05-2022,Took Prescription Medication for Mental Health,By State,All,New York,39.74,38.12,41.11
08-05-2022,Received Counseling or Therapy,By State,All,New York,25.76,20.83,27.68
08-05-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,19.35,16.69,24.17
08-05-2022,Received Counseling or Therapy,By State,All,Illinois,35.71,31.35,39.28
08-05-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,34.84,33.64,36.3
08-05-2022,Received Counseling or Therapy,National Estimate,All,USA,18.53,16.44,20.59
08-05-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,21.27,18.03,24.29
08-05-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,38.08,36.76,42.62
08-05-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,14.88,12.91,17.63
08-05-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,15.09,11.14,16.23
08-05-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,19.53,17.3,22.46
08-05-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,19.78,18.28,21.74
08-05-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,11.7,10.66,13.69
08-05-2022,Received Counseling or Therapy,By Age,65+,USA,38.8,34.56,41.66
15-05-2022,Took Prescription Medication for Mental Health,By State,All,California,27.14,23.18,29.16
15-05-2022,Received Counseling or Therapy,By State,All,California,15.57,11.63,17.74
15-05-2022,Took Prescription Medication for Mental Health,By State,All,Texas,19.25,15.72,21.05
15-05-2022,Received Counseling or Therapy,By State,All,Texas,26.17,21.48,27.37
15-05-2022,Took Prescription Medication for Mental Health,By State,All,Florida,32.22,30.81,35.15
15-05-2022,Received Counseling or Therapy,By State,All,Florida,11.83,9.98,16.48
15-05-2022,Took Prescription Medication for Mental Health,By State,All,New York,25.45,22.86,29.2
15-05-2022,Received Counseling or Therapy,By State,All,New York,33.41,30.4,37.54
15-05-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,30.87,25.88,33.62
15-05-2022,Received Counseling or Therapy,By State,All,Illinois,17.33,15.6,21.08
15-05-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,25.89,24.47,29.59
15-05-2022,Received Counseling or Therapy,National Estimate,All,USA,16.11,13.73,17.72
15-05-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,17.12,14.27,20.31
15-05-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,34.14,29.37,36.31
15-05-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,37.9,34.99,39.57
15-05-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,27.74,23.74,29.36
15-05-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,24.57,22.14,27.49
15-05-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,14.63,12.75,18.66
15-05-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,30.68,28.39,31.85
15-05-2022,Received Counseling or Therapy,By Age,65+,USA,14.9,12.04,17.61
22-05-2022,Took Prescription Medication for Mental Health,By State,All,California,18.4,13.61,21.8
22-05-2022,Received Counseling or Therapy,By State,All,California,30.64,28.68,34
22-05-2022,Took Prescription Medication for Mental Health,By State,All,Texas,10.62,7.63,12.85
22-05-2022,Received Counseling or Therapy,By State,All,Texas,24.55,20.73,26.32
22-05-2022,Took Prescription Medication for Mental Health,By State,All,Florida,18.01,13.74,21.99
22-05-2022,Received Counseling or Therapy,By State,All,Florida,12.29,11.26,16.55
22-05-2022,Took Prescription Medication for Mental Health,By State,All,New York,19.47,16.5,21.09
22-05-2022,Received Counseling or Therapy,By State,All,New York,19.51,14.96,21.08
22-05-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,24.36,23.08,25.85
22-05-2022,Received Counseling or Therapy,By State,All,Illinois,36.09,33.35,38.27
22-05-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,22.3,21.1,25.14
22-05-2022,Received Counseling or Therapy,National Estimate,All,USA,27.91,25.06,29.18
22-05-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,23.48,20.52,26.01
22-05-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,21.6,17.92,22.61
22-05-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,23.7,20.45,26.85
22-05-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,28.02,26.05,31.82
22-05-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,13.85,8.93,15.87
22-05-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,33.54,29.53,37.39
22-05-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,23.8,20.98,25.67
22-05-2022,Received Counseling or Therapy,By Age,65+,USA,34.38,31.68,35.62
29-05-2022,Took Prescription Medication for Mental Health,By State,All,California,19.07,16.45,22
29-05-2022,Received Counseling or Therapy,By State,All,California,36.7,32.28,39.49
29-05-2022,Took Prescription Medication for Mental Health,By State,All,Texas,22.25,17.61,25.24
29-05-2022,Received Counseling or Therapy,By State,All,Texas,36.21,33.21,40.13
29-05-2022,Took Prescription Medication for Mental Health,By State,All,Florida,14.89,12.72,17.9
29-05-2022,Received Counseling or Therapy,By State,All,Florida,36.09,33.3,38.95
29-05-2022,Took Prescription Medication for Mental Health,By State,All,New York,21.36,19.71,24.4
29-05-2022,Received Counseling or Therapy,By State,All,New York,32.11,30.28,34.52
29-05-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,31.03,26.07,33.84
29-05-2022,Received Counseling or Therapy,By State,All,Illinois,12.64,9,14.03
29-05-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,26.62,24.62,30.14
29-05-2022,Received Counseling or Therapy,National Estimate,All,USA,33.41,30.79,35.13
29-05-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,17.67,15.4,19.77
29-05-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,15.86,12.42,19.34
29-05-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,28.7,26.71,30.05
29-05-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,34.71,31.15,39.07
29-05-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,17.13,13.91,19.09
29-05-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,32.76,28.02,34.97
29-05-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,20.14,15.28,23.58
29-05-2022,Received Counseling or Therapy,By Age,65+,USA,35.39,30.99,39.26
05-06-2022,Took Prescription Medication for Mental Health,By State,All,California,24.97,21.36,27.6
05-06-2022,Received Counseling or Therapy,By State,All,California,12.96,8.62,15.78
05-06-2022,Took Prescription Medication for Mental Health,By State,All,Texas,17.99,13.37,19.7
05-06-2022,Received Counseling or Therapy,By State,All,Texas,17.23,12.64,22.06
05-06-2022,Took Prescription Medication for Mental Health,By State,All,Florida,29.4,26.93,31.12
05-06-2022,Received Counseling or Therapy,By State,All,Florida,36.26,34.18,40.93
05-06-2022,Took Prescription Medication for Mental Health,By State,All,New York,18.38,16.37,23.33
05-06-2022,Received Counseling or Therapy,By State,All,New York,12.34,7.7,14.45
05-06-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,14.58,13.56,16.73
05-06-2022,Received Counseling or Therapy,By State,All,Illinois,34.71,31.73,38.06
05-06-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,19.99,17.14,21.19
05-06-2022,Received Counseling or Therapy,National Estimate,All,USA,17.95,16.63,19.08
05-06-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,12.32,8.84,13.59
05-06-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,31.68,30.6,35.29
05-06-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,38.37,35.29,41.38
05-06-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,17.51,12.54,18.54
05-06-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,16.39,11.49,21.35
05-06-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,20.53,18.79,22.29
05-06-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,38.36,36.28,39.9
05-06-2022,Received Counseling or Therapy,By Age,65+,USA,33.68,29.5,37.06
12-06-2022,Took Prescription Medication for Mental Health,By State,All,California,38.43,37.12,40.71
12-06-2022,Received Counseling or Therapy,By State,All,California,10.99,8.22,12.45
12-06-2022,Took Prescription Medication for Mental Health,By State,All,Texas,39.33,37.47,42.96
12-06-2022,Received Counseling or Therapy,By State,All,Texas,25.45,21.41,27.96
12-06-2022,Took Prescription Medication for Mental Health,By State,All,Florida,35.85,32.48,36.92
12-06-2022,Received Counseling or Therapy,By State,All,Florida,13.33,10.11,17.16
12-06-2022,Took Prescription Medication for Mental Health,By State,All,New York,29.4,24.61,32.04
12-06-2022,Received Counseling or Therapy,By State,All,New York,10.65,6.36,13.27
12-06-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,15.18,10.77,18.18
12-06-2022,Received Counseling or Therapy,By State,All,Illinois,20.94,17.78,25.75
12-06-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,27.76,24.85,28.99
12-06-2022,Received Counseling or Therapy,National Estimate,All,USA,20.77,17.36,24.59
12-06-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,33.35,30.24,36.21
12-06-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,37.9,36.49,39.06
12-06-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,17.1,15.02,20.4
12-06-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,25.82,21.38,28.07
12-06-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,10.8,6.53,14.78
12-06-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,12.87,9.58,14.79
12-06-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,22.05,20.79,24.25
12-06-2022,Received Counseling or Therapy,By Age,65+,USA,25.06,22.39,27.67
19-06-2022,Took Prescription Medication for Mental Health,By State,All,California,21.18,16.23,23.5
19-06-2022,Received Counseling or Therapy,By State,All,California,22.33,17.52,26.99
19-06-2022,Took Prescription Medication for Mental Health,By State,All,Texas,16.05,11.65,17.1
19-06-2022,Received Counseling or Therapy,By State,All,Texas,21.75,18.57,24.3
19-06-2022,Took Prescription Medication for Mental Health,By State,All,Florida,12.1,10.95,15.51
19-06-2022,Received Counseling or Therapy,By State,All,Florida,23.21,20.25,27.28
19-06-2022,Took Prescription Medication for Mental Health,By State,All,New York,22.54,20.44,23.54
19-06-2022,Received Counseling or Therapy,By State,All,New York,27.26,24.31,31.09
19-06-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,32.76,31.06,34.91
19-06-2022,Received Counseling or Therapy,By State,All,Illinois,33.27,28.76,37.97
19-06-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,32.57,30.31,35.27
19-06-2022,Received Counseling or Therapy,National Estimate,All,USA,19.97,17.63,22.52
19-06-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,14.79,10.08,17.24
19-06-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,16.12,14.4,20.42
19-06-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,20.25,17.94,22.72
19-06-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,39.4,36.3,41.4
19-06-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,31.24,29.58,35.14
19-06-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,29.85,26.84,34.36
19-06-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,10.29,7.56,12.04
19-06-2022,Received Counseling or Therapy,By Age,65+,USA,13.48,10.62,15.89
26-06-2022,Took Prescription Medication for Mental Health,By State,All,California,17.79,15.94,22.59
26-06-2022,Received Counseling or Therapy,By State,All,California,19.45,15.42,20.57
26-06-2022,Took Prescription Medication for Mental Health,By State,All,Texas,10.35,6.38,12.06
26-06-2022,Received Counseling or Therapy,By State,All,Texas,15.22,10.93,16.77
26-06-2022,Took Prescription Medication for Mental Health,By State,All,Florida,22.49,19.53,24.43
26-06-2022,Received Counseling or Therapy,By State,All,Florida,36.49,32.6,39.84
26-06-2022,Took Prescription Medication for Mental Health,By State,All,New York,23.25,19.43,26.13
26-06-2022,Received Counseling or Therapy,By State,All,New York,19.96,17.66,22.6
26-06-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,39.49,35.28,42.9
26-06-2022,Received Counseling or Therapy,By State,All,Illinois,28.73,27.68,29.95
26-06-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,26.51,25.08,30.48
26-06-2022,Received Counseling or Therapy,National Estimate,All,USA,15.97,12.43,18.46
26-06-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,15.6,14.37,20.58
26-06-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,35.88,33.44,40.49
26-06-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,34.07,30.78,38.67
26-06-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,28.07,23.34,30.96
26-06-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,29.16,25.16,32.33
26-06-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,30.43,28.06,34.22
26-06-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,21.99,17.77,26.46
26-06-2022,Received Counseling or Therapy,By Age,65+,USA,21.04,19.6,23.55
03-07-2022,Took Prescription Medication for Mental Health,By State,All,California,28.54,24.57,32.15
03-07-2022,Received Counseling or Therapy,By State,All,California,38.63,36.79,42.15
03-07-2022,Took Prescription Medication for Mental Health,By State,All,Texas,13.15,11.69,15.78
03-07-2022,Received Counseling or Therapy,By State,All,Texas,38.28,36.04,41.37
03-07-2022,Took Prescription Medication for Mental Health,By State,All,Florida,14.67,12.41,18.58
03-07-2022,Received Counseling or Therapy,By State,All,Florida,28.03,23.6,30.05
03-07-2022,Took Prescription Medication for Mental Health,By State,All,New York,31.37,30.37,34.57
03-07-2022,Received Counseling or Therapy,By State,All,New York,27.61,25.51,31.45
03-07-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,34.81,32.1,38.02
03-07-2022,Received Counseling or Therapy,By State,All,Illinois,34.09,32.99,35.38
03-07-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,15.17,13.05,17.93
03-07-2022,Received Counseling or Therapy,National Estimate,All,USA,29.2,27.06,30.88
03-07-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,31.11,29.79,33.11
03-07-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,38.55,34.26,39.95
03-07-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,32.6,28.87,36.02
03-07-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,18.8,15.11,23.08
03-07-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,26.72,23.07,28.45
03-07-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,37.06,34.42,38.32
03-07-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,24.31,22.23,25.67
03-07-2022,Received Counseling or Therapy,By Age,65+,USA,31.38,29.28,35.85
10-07-2022,Took Prescription Medication for Mental Health,By State,All,California,18.38,15.65,20.3
10-07-2022,Received Counseling or Therapy,By State,All,California,26.29,25.09,31.12
10-07-2022,Took Prescription Medication for Mental Health,By State,All,Texas,27.09,25.36,31.74
10-07-2022,Received Counseling or Therapy,By State,All,Texas,13.58,8.59,14.59
10-07-2022,Took Prescription Medication for Mental Health,By State,All,Florida,30.3,25.68,34.73
10-07-2022,Received Counseling or Therapy,By State,All,Florida,33.19,30.83,34.54
10-07-2022,Took Prescription Medication for Mental Health,By State,All,New York,17.76,15.65,20.74
10-07-2022,Received Counseling or Therapy,By State,All,New York,37.97,33.01,40.14
10-07-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,38.02,34.26,40.05
10-07-2022,Received Counseling or Therapy,By State,All,Illinois,14.02,12.41,17.15
10-07-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,30.43,28.92,33.31
10-07-2022,Received Counseling or Therapy,National Estimate,All,USA,26.11,24.86,28.65
10-07-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,15.07,10.76,17.56
10-07-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,37.31,33.06,39.38
10-07-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,23.23,20.54,25.13
10-07-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,20.79,18.08,25.36
10-07-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,24.52,20.91,27.12
10-07-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,30.43,28.09,34.93
10-07-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,28.89,27.86,32.22
10-07-2022,Received Counseling or Therapy,By Age,65+,USA,21.94,20.24,25.53
17-07-2022,Took Prescription Medication for Mental Health,By State,All,California,14.04,11.81,18
17-07-2022,Received Counseling or Therapy,By State,All,California,18.48,15.22,21.07
17-07-2022,Took Prescription Medication for Mental Health,By State,All,Texas,11.04,6.36,13.74
17-07-2022,Received Counseling or Therapy,By State,All,Texas,18.6,14.4,22.81
17-07-2022,Took Prescription Medication for Mental Health,By State,All,Florida,22.59,17.62,23.86
17-07-2022,Received Counseling or Therapy,By State,All,Florida,39.25,34.58,40.68
17-07-2022,Took Prescription Medication for Mental Health,By State,All,New York,34.23,30.45,38.92
17-07-2022,Received Counseling or Therapy,By State,All,New York,10.05,5.56,13.27
17-07-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,25.76,24.08,29.59
17-07-2022,Received Counseling or Therapy,By State,All,Illinois,31.23,29.88,35.15
17-07-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,25.44,24.3,29.25
17-07-2022,Received Counseling or Therapy,National Estimate,All,USA,22.92,20.5,24.34
17-07-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,31.32,26.81,33.89
17-07-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,18.78,16.25,21.5
17-07-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,34.31,32.63,36.11
17-07-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,19.67,15.05,24.35
17-07-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,35.78,31.27,37.85
17-07-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,19.49,16.25,23.59
17-07-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,17.41,16.16,21.22
17-07-2022,Received Counseling or Therapy,By Age,65+,USA,29.38,24.63,32.31
24-07-2022,Took Prescription Medication for Mental Health,By State,All,California,31,28,33.3
24-07-2022,Received Counseling or Therapy,By State,All,California,13.05,11.85,17.68
24-07-2022,Took Prescription Medication for Mental Health,By State,All,Texas,17.46,15.09,21.43
24-07-2022,Received Counseling or Therapy,By State,All,Texas,15.53,14.25,17.09
24-07-2022,Took Prescription Medication for Mental Health,By State,All,Florida,22.15,17.44,24.45
24-07-2022,Received Counseling or Therapy,By State,All,Florida,26.04,24.78,27.6
24-07-2022,Took Prescription Medication for Mental Health,By State,All,New York,22.56,21.45,25.14
24-07-2022,Received Counseling or Therapy,By State,All,New York,34.13,29.45,35.88
24-07-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,21.81,20.7,23.89
24-07-2022,Received Counseling or Therapy,By State,All,Illinois,34.06,30.44,38.11
24-07-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,15.51,11.87,18.63
24-07-2022,Received Counseling or Therapy,National Estimate,All,USA,27.77,24.12,29.04
24-07-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,23.73,20.65,25.53
24-07-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,11.9,9.41,13.14
24-07-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,11.48,10.25,14.91
24-07-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,35.14,31.02,40.08
24-07-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,28.17,24.2,29.71
24-07-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,35.39,32.77,37.5
24-07-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,19.39,14.73,20.46
24-07-2022,Received Counseling or Therapy,By Age,65+,USA,27.41,26.34,28.88
31-07-2022,Took Prescription Medication for Mental Health,By State,All,California,35.8,33.36,39.2
31-07-2022,Received Counseling or Therapy,By State,All,California,37.4,34.31,41.85
31-07-2022,Took Prescription Medication for Mental Health,By State,All,Texas,27.18,24.28,29.38
31-07-2022,Received Counseling or Therapy,By State,All,Texas,14.09,11.68,17.17
31-07-2022,Took Prescription Medication for Mental Health,By State,All,Florida,20.7,16.23,23.8
31-07-2022,Received Counseling or Therapy,By State,All,Florida,13.59,9.88,17.48
31-07-2022,Took Prescription Medication for Mental Health,By State,All,New York,11.21,6.22,13.36
31-07-2022,Received Counseling or Therapy,By State,All,New York,32.88,30.62,35.26
31-07-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,14.68,10.8,18.59
31-07-2022,Received Counseling or Therapy,By State,All,Illinois,20.71,16.13,25.51
31-07-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,17.13,15.21,18.54
31-07-2022,Received Counseling or Therapy,National Estimate,All,USA,26.91,24.37,28.42
31-07-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,10.24,7.07,11.29
31-07-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,31.19,29.37,35.8
31-07-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,22.79,19.13,26.29
31-07-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,23.16,20.57,24.85
31-07-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,37.01,33.86,40.62
31-07-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,19.39,16.5,23.75
31-07-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,19.15,15.21,23.15
31-07-2022,Received Counseling or Therapy,By Age,65+,USA,17.16,14.13,20.13
07-08-2022,Took Prescription Medication for Mental Health,By State,All,California,11.53,9.77,15.18
07-08-2022,Received Counseling or Therapy,By State,All,California,37.69,33.02,39.49
07-08-2022,Took Prescription Medication for Mental Health,By State,All,Texas,34.07,32.09,37.24
07-08-2022,Received Counseling or Therapy,By State,All,Texas,20.22,15.66,23.53
07-08-2022,Took Prescription Medication for Mental Health,By State,All,Florida,17.36,12.57,19.06
07-08-2022,Received Counseling or Therapy,By State,All,Florida,15.57,14.47,20.19
07-08-2022,Took Prescription Medication for Mental Health,By State,All,New York,25.79,21.3,29.77
07-08-2022,Received Counseling or Therapy,By State,All,New York,36.87,34.19,40.91
07-08-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,20.14,18.38,21.97
07-08-2022,Received Counseling or Therapy,By State,All,Illinois,10.41,8,11.86
07-08-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,30.65,28.82,34.33
07-08-2022,Received Counseling or Therapy,National Estimate,All,USA,22.86,21.51,26.33
07-08-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,36.63,31.81,39.74
07-08-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,20.51,18.19,24.48
07-08-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,32.04,27.79,34.68
